canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,method,path,purpose,auth,request_schema,response_shape,related_db_model,related_dashboard_page,notes
GET /admin/v1/metrics/summary,Admin Metrics Summary,api_route,Admin,admin route schema,apps/api/src/routes/admin.ts;apps/api/src/schemas/admin.schema.ts,existing,repo,yes,current,low,low,GET,/admin/v1/metrics/summary,"Summary metrics for webhook and Synthflow logs","x-sa360-admin-key ADMIN_API_KEY","adminSummaryQuerySchema","AdminMetricsSummary counts averages latest timestamps","WebhookRequestLog SynthflowRequestLog","Command Center via coc alias","Original admin path."
GET /admin/v1/webhook-requests,Admin Webhook Request List,api_route,Admin,admin route schema,apps/api/src/routes/admin.ts;apps/api/src/schemas/admin.schema.ts,existing,repo,yes,current,low,low,GET,/admin/v1/webhook-requests,"List webhook request logs with filters and cursor","x-sa360-admin-key ADMIN_API_KEY","webhookListQuerySchema","{ items nextCursor }","WebhookRequestLog LifecycleEvent","Webhook Monitor via coc alias","Original admin path."
GET /admin/v1/webhook-requests/:id,Admin Webhook Request Detail,api_route,Admin,admin route schema,apps/api/src/routes/admin.ts;apps/api/src/schemas/admin.schema.ts,existing,repo,yes,current,low,low,GET,/admin/v1/webhook-requests/:id,"Load webhook request detail and redacted bodies","x-sa360-admin-key ADMIN_API_KEY","adminIdParamSchema","Webhook detail object","WebhookRequestLog LifecycleEvent","Webhook Monitor detail drawer via coc alias","Original admin path."
GET /admin/v1/synthflow-requests,Admin Synthflow Request List,api_route,Voice,admin route schema,apps/api/src/routes/admin.ts;apps/api/src/schemas/admin.schema.ts,existing,repo,yes,current,low,low,GET,/admin/v1/synthflow-requests,"List Synthflow request logs","x-sa360-admin-key ADMIN_API_KEY","synthflowListQuerySchema","{ items nextCursor }","SynthflowRequestLog","Synthflow Voice via coc alias","Includes inbound lookup and outbound-context route rows."
GET /admin/v1/synthflow-requests/:id,Admin Synthflow Request Detail,api_route,Voice,admin route schema,apps/api/src/routes/admin.ts;apps/api/src/schemas/admin.schema.ts,existing,repo,yes,current,low,low,GET,/admin/v1/synthflow-requests/:id,"Load Synthflow request detail and redacted bodies","x-sa360-admin-key ADMIN_API_KEY","adminIdParamSchema","Synthflow detail object","SynthflowRequestLog","Synthflow Voice detail sheet via coc alias","Original admin path."
GET /admin/v1/synthflow-outbound-results,Admin Synthflow Outbound Result List,api_route,Voice,admin route schema,apps/api/src/routes/admin.ts;apps/api/src/schemas/admin.schema.ts,existing,repo,yes,current,low,low,GET,/admin/v1/synthflow-outbound-results,"List outbound Synthflow result logs","x-sa360-admin-key ADMIN_API_KEY","synthflowOutboundResultListQuerySchema","{ items nextCursor }","SynthflowOutboundResultLog","Synthflow Voice outbound tab via coc alias","Original admin path."
GET /admin/v1/synthflow-outbound-results/:id,Admin Synthflow Outbound Result Detail,api_route,Voice,admin route schema,apps/api/src/routes/admin.ts;apps/api/src/schemas/admin.schema.ts,existing,repo,yes,current,low,low,GET,/admin/v1/synthflow-outbound-results/:id,"Load outbound result detail and payload","x-sa360-admin-key ADMIN_API_KEY","adminIdParamSchema","Outbound result detail object","SynthflowOutboundResultLog","Synthflow Voice outbound detail","Original admin path."
GET /admin/v1/coc/summary-metrics,C.O.C. Summary Metrics,api_route,COC,admin route alias,apps/api/src/routes/admin.ts;apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,low,GET,/admin/v1/coc/summary-metrics,"C.O.C. alias for summary metrics","x-sa360-admin-key ADMIN_API_KEY","adminSummaryQuerySchema","AdminMetricsSummary","WebhookRequestLog SynthflowRequestLog","Command Center","Frontend uses this alias."
GET /admin/v1/coc/webhook-requests,C.O.C. Webhook Requests,api_route,COC,admin route alias,apps/api/src/routes/admin.ts;apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,low,GET,/admin/v1/coc/webhook-requests,"C.O.C. alias for webhook list","x-sa360-admin-key ADMIN_API_KEY","webhookListQuerySchema","{ items nextCursor }","WebhookRequestLog LifecycleEvent","Webhook Monitor Command Center invalid sample","Frontend uses this alias."
GET /admin/v1/coc/webhook-requests/:id,C.O.C. Webhook Request Detail,api_route,COC,admin route alias,apps/api/src/routes/admin.ts,existing,repo,yes,current,low,low,GET,/admin/v1/coc/webhook-requests/:id,"C.O.C. alias for webhook detail","x-sa360-admin-key ADMIN_API_KEY","adminIdParamSchema","Webhook detail object","WebhookRequestLog LifecycleEvent","Webhook Monitor detail drawer","Frontend detail support present in API."
GET /admin/v1/coc/synthflow-requests,C.O.C. Synthflow Requests,api_route,COC,admin route alias,apps/api/src/routes/admin.ts;apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,low,GET,/admin/v1/coc/synthflow-requests,"C.O.C. alias for Synthflow list","x-sa360-admin-key ADMIN_API_KEY","synthflowListQuerySchema","{ items nextCursor }","SynthflowRequestLog","Synthflow Voice requests tab","Frontend uses this alias."
GET /admin/v1/coc/synthflow-requests/:id,C.O.C. Synthflow Request Detail,api_route,COC,admin route alias,apps/api/src/routes/admin.ts;apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,low,GET,/admin/v1/coc/synthflow-requests/:id,"C.O.C. alias for Synthflow detail","x-sa360-admin-key ADMIN_API_KEY","adminIdParamSchema","Synthflow detail object","SynthflowRequestLog","Synthflow Voice detail sheet","Frontend action uses this alias."
GET /admin/v1/coc/synthflow-outbound-results,C.O.C. Synthflow Outbound Results,api_route,COC,admin route alias,apps/api/src/routes/admin.ts;apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,low,GET,/admin/v1/coc/synthflow-outbound-results,"C.O.C. alias for outbound result list","x-sa360-admin-key ADMIN_API_KEY","synthflowOutboundResultListQuerySchema","{ items nextCursor }","SynthflowOutboundResultLog","Synthflow Voice outbound tab","Frontend uses this alias."
GET /admin/v1/coc/synthflow-outbound-results/:id,C.O.C. Synthflow Outbound Result Detail,api_route,COC,admin route alias,apps/api/src/routes/admin.ts;apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,low,GET,/admin/v1/coc/synthflow-outbound-results/:id,"C.O.C. alias for outbound result detail","x-sa360-admin-key ADMIN_API_KEY","adminIdParamSchema","Outbound result detail object","SynthflowOutboundResultLog","Synthflow Voice outbound detail","Frontend action uses this alias."
