canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,classification,notes
synthflow_outbound_result,Synthflow Outbound Result,event,Voice,outbound result route/schema,apps/api/src/routes/voice.ts;apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,yes,current,medium,medium,webhook event,"Webhook-style event call_outbound_result; persisted as observability."
review_created,Review Created,event,Admin,Figma mock timeline,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,Figma,no,proposed,medium,medium,UI concept only,"No ReviewItem Prisma model/API currently."
capi.dispatch,CAPI Dispatch,event,Meta,Figma mock webhook monitor,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,needs_review,Figma,maybe,proposed,medium,medium,UI concept only,"Map to MetaDispatchAttempt/worker stages; avoid new event name unless registry approves."
inbound.lookup,Inbound Lookup,event,Voice,Figma mock webhook monitor,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,needs_review,Figma,maybe,proposed,medium,medium,UI concept only,"Map to POST /voice/synthflow/inbound-lookup and SynthflowRequestLog; prefer synthflow_inbound_lookup naming."
lead_normalized,Lead Normalized In GHL,event,M1,ghl_screenshot_inventory_2026_05_08,GHL workflow inventory,existing,GHL,yes,current,medium,medium,GHL workflow trigger,"M1B normalizes and locks lead; shared InternalEventName already has lead_normalized. Map GHL normalization completion to repo event only once."
first_touch_sent,First Touch Sent,event,M2,ghl_screenshot_inventory_2026_05_08,GHL workflow inventory,existing,GHL,yes,current,medium,medium,GHL workflow trigger,"M2A.FT-BLUE/GREEN sends first touch and writes first-touch fields; not currently a repo InternalEventName."
reply_detected,Reply Detected,event,M2,ghl_screenshot_inventory_2026_05_08,GHL workflow inventory,existing,GHL,yes,current,medium,medium,GHL workflow trigger,"M2C detects reply and routes to M2D; may map to first_response/contact_updated rather than new event."
appointment_booked,Appointment Booked,event,M2,ghl_screenshot_inventory_2026_05_08,GHL workflow inventory,existing,GHL,yes,current,high,medium,GHL workflow trigger,"M2C.4 booked path; likely maps to appointment_set plus appointment_status, not separate repo event."
appointment_confirmed,Appointment Confirmed,event,M2,ghl_screenshot_inventory_2026_05_08,GHL workflow inventory,existing,GHL,yes,current,medium,medium,GHL workflow trigger,"M2C.5 confirm/remind state; likely appointment_status/confirmation_status field, not DB lifecycle event."
no_reply_fallback,No Reply Fallback,event,M2,ghl_screenshot_inventory_2026_05_08,GHL workflow inventory,existing,GHL,maybe,current,medium,medium,GHL workflow trigger,"M2E draft terminal fallback; may become Review Queue concept rather than event."
voice_call_started,Voice Call Started,event,Voice,ghl_screenshot_inventory_2026_05_08,GHL workflow diagram,existing,GHL,yes,current,medium,medium,GHL workflow trigger,"M3V-A writes sa360_routing_status=VOICE_CALL_STARTED; not current repo event."
voice_no_answer,Voice No Answer,event,Voice,ghl_screenshot_inventory_2026_05_08,GHL workflow diagram,existing,GHL,maybe,current,medium,medium,GHL workflow trigger,"M3V-B/C path writes sa360_routing_status=VOICE_NO_ANSWER; maps to outbound result outcome no_answer."
voice_completed,Voice Completed,event,Voice,ghl_screenshot_inventory_2026_05_08,GHL workflow diagram,existing,GHL,maybe,current,medium,medium,GHL workflow trigger,"M3V-D diagram writes VOICE_COMPLETED; missing workflow inventory and should map to outbound result booked/completed."
