canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,notes
source_dataset_name,Source Dataset Name,payload_field,Meta,lifecycle routing schema,packages/shared/src/types.ts,existing,repo,maybe,current,medium,low,"Display/config field."
master_dataset_id,Master Dataset ID,payload_field,Meta,lifecycle routing schema and worker,packages/shared/src/types.ts;apps/worker/src/processors/meta-dispatch.processor.ts,existing,repo,maybe,current,medium,medium,"Can override ClientConfig metaDatasetId; inventory needed before adding GHL config."
master_dataset_name,Master Dataset Name,payload_field,Meta,lifecycle routing schema,packages/shared/src/types.ts,existing,repo,maybe,current,medium,low,"Display/config field."
known_caller,Known Caller,payload_field,Voice,Synthflow inbound response,apps/api/src/services/synthflow-inbound-lookup.service.ts,existing,repo,yes,current,medium,high,"Voice response signal; should not be a persistent GHL custom field unless live workflow requires it."
knownCaller,Known Caller,field,Voice,SynthflowRequestLog and admin metrics,prisma/schema.prisma;apps/api/src/services/admin-metrics.service.ts,existing,SA360_DB,yes,current,medium,medium,"Request-log string field for observability."
matched_by,Matched By,payload_field,Voice,Synthflow inbound/outbound responses,apps/api/src/services/synthflow-inbound-lookup.service.ts;apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Lookup method signal; log/response field, not contact current state."
lookup_status,Lookup Status,payload_field,Voice,Synthflow responses/logs,apps/api/src/services/synthflow-inbound-lookup.service.ts;apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Request outcome signal; keep in logs/response, not GHL current state."
client_status,Client Status,payload_field,Voice,Synthflow variables and enum,apps/api/src/services/synthflow-inbound-lookup.service.ts;prisma/schema.prisma,existing,SA360_DB,maybe,current,medium,medium,"Enum-backed index status LEAD/EXISTING_CLIENT/UNKNOWN."
override_model_id,Override Model ID,payload_field,Voice,Synthflow inbound response,apps/api/src/services/synthflow-inbound-lookup.service.ts,existing,repo,yes,current,low,low,"Response-only Synthflow control."
model_id,Model ID,payload_field,Voice,Synthflow schemas/logs,apps/api/src/schemas/synthflow-inbound-lookup.schema.ts;prisma/schema.prisma,existing,repo,yes,current,low,low,"Voice model identity; env mapping may resolve tenant."
from_number,From Number,payload_field,Voice,Synthflow schemas,apps/api/src/schemas/synthflow-inbound-lookup.schema.ts;apps/api/src/schemas/synthflow-outbound-context.schema.ts,existing,repo,yes,current,medium,low,"Payload phone; normalized before lookup."
to_number,To Number,payload_field,Voice,Synthflow schemas,apps/api/src/schemas/synthflow-inbound-lookup.schema.ts;apps/api/src/schemas/synthflow-outbound-context.schema.ts,existing,repo,yes,current,medium,low,"Payload phone; inbound line or outbound lead phone depending route."
from_number_e164,From Number E.164,payload_field,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,low,"Response variable; not durable contact state."
to_number_e164,To Number E.164,payload_field,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,low,"Response variable; not durable contact state."
lead_phone_e164,Lead Phone E.164,payload_field,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Alias of to_number_e164; duplicate risk if made durable."
known_contact,Known Contact,payload_field,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Outbound contact found signal; do not duplicate known_caller field."
contact_found,Contact Found,payload_field,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Alias of known_contact; keep response-only."
has_active_appointment,Has Active Appointment,payload_field,Voice,Synthflow outbound guardrails,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,high,medium,"Derived from lifecycleStage/appointmentStatus; do not store as independent GHL truth."
booking_allowed,Booking Allowed,payload_field,Voice,Synthflow outbound guardrails,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,high,medium,"Derived guardrail; response/config output not GHL current state."
reschedule_allowed,Reschedule Allowed,payload_field,Voice,Synthflow outbound guardrails,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,high,medium,"Derived guardrail; response/config output not GHL current state."
script_goal,Script Goal,payload_field,Voice,Synthflow outbound guardrails,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Voice script control; candidate custom value only if copied into GHL workflow."
do_not_book_reason,Do Not Book Reason,payload_field,Voice,Synthflow outbound guardrails,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Derived reason; avoid persistent GHL field unless review queue needs explicit capture."
do_not_call_signal,Do Not Call Signal,payload_field,Voice,Synthflow outbound guardrails,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,yes,current,medium,medium,"Derived from lifecycle signals; field/tag creation requires review."
scheduling_calendar_id,Scheduling Calendar ID,payload_field,Voice,Synthflow outbound calendar env,apps/api/src/services/synthflow-outbound-context.service.ts;README.md,existing,repo,yes,current,medium,medium,"Resolved from env map; live GHL calendars needed before creation."
scheduling_calendar_link,Scheduling Calendar Link,payload_field,Voice,Synthflow outbound calendar env,apps/api/src/services/synthflow-outbound-context.service.ts;README.md,existing,repo,yes,current,medium,medium,"Resolved from env map; candidate custom value/config, not contact field."
assigned_agent_calendar_id,Assigned Agent Calendar ID,payload_field,Voice,Synthflow outbound calendar env,apps/api/src/services/synthflow-outbound-context.service.ts;README.md,existing,repo,maybe,current,medium,medium,"Derived agent calendar hint."
assigned_agent_calendar_link,Assigned Agent Calendar Link,payload_field,Voice,Synthflow outbound calendar env,apps/api/src/services/synthflow-outbound-context.service.ts;README.md,existing,repo,maybe,current,medium,medium,"Derived agent calendar hint."
calendar_resolution,Calendar Resolution,payload_field,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,maybe,current,low,low,"Debug signal agent/client_default/none; log/response only."
scheduling_fallback_used,Scheduling Fallback Used,payload_field,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,existing,repo,maybe,current,low,low,"Debug signal; log/response only."
call_id,Call ID,payload_field,Voice,Synthflow outbound result schema,apps/api/src/schemas/synthflow-outbound-result.schema.ts;prisma/schema.prisma,existing,repo,yes,current,low,low,"Outbound call identity persisted in SynthflowOutboundResultLog."
outcome,Outbound Outcome,payload_field,Voice,Synthflow outbound result schema,apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,yes,current,medium,medium,"Controlled outcome enum; event/log concept, not tag set."
booked,Booked,payload_field,Voice,Synthflow outbound result schema,apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,yes,current,medium,medium,"Call result boolean; do not duplicate appointment_status."
appointment_time,Appointment Time,payload_field,Voice,Synthflow outbound result schema,apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,yes,current,medium,medium,"Outbound result time; reconcile with GHL appointment source of truth."
transcript_summary,Transcript Summary,payload_field,Voice,Synthflow outbound result schema,apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,maybe,current,low,medium,"Observability/QA data; avoid storing in GHL unless policy permits."
VOICE_ENABLED,Voice Enabled,feature_flag,Voice,admin flags page,apps/admin-coc/src/app/(dashboard)/flags/page.tsx,proposed,manual_plan,maybe,proposed,medium,medium,"UI roadmap flag; repo env actually has SYNTHFLOW_INBOUND_ENABLED and SYNTHFLOW_OUTBOUND_CONTEXT_ENABLED."
SYNTHFLOW_INBOUND_ENABLED,Synthflow Inbound Enabled,env_var,Voice,env helper and flags page,apps/api/src/lib/synthflow-voice-env.ts;apps/admin-coc/src/app/(dashboard)/flags/page.tsx,existing,repo,yes,current,medium,medium,"Global env gate defaults false."
SYNTHFLOW_OUTBOUND_CONTEXT_ENABLED,Synthflow Outbound Context Enabled,env_var,Voice,env helper,apps/api/src/lib/synthflow-voice-env.ts,existing,repo,yes,current,low,low,"Global env gate defaults true."
META_SYNC_ENABLED,Meta Sync Enabled,env_var,Meta,env helper README seed flags page,apps/api/src/lib/meta-sync-enabled.ts;README.md;apps/admin-coc/src/app/(dashboard)/flags/page.tsx,existing,repo,yes,current,medium,medium,"Global env gate; separate from ClientConfig.metaSyncEnabled."
BLUE_ENABLED,Blue Enabled,feature_flag,Launch,Figma mock client flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,Figma,maybe,proposed,medium,medium,"Roadmap/mock only; no repo env or DB model found."
GREEN_ENABLED,Green Enabled,feature_flag,Launch,Figma mock client flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,Figma,maybe,proposed,medium,medium,"Roadmap/mock only; no repo env or DB model found."
CLOSEBOT_ENABLED,CloseBot Enabled,feature_flag,Launch,Figma mock client flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,Figma,maybe,proposed,medium,medium,"Roadmap/mock only; no repo env or DB model found."
REPLAY_ENABLED,Replay Enabled,feature_flag,Admin,admin flags page,apps/admin-coc/src/app/(dashboard)/flags/page.tsx,proposed,admin_coc,no,proposed,medium,medium,"UI-only off flag; replay behavior not implemented."
LOOKUP_MODE,Lookup Mode,env_var,Voice,env helper,apps/api/src/lib/synthflow-voice-env.ts,existing,repo,maybe,current,low,low,"Voice lookup integration config."
MAKE_LOOKUP_URL,Make Lookup URL,env_var,Voice,env helper,apps/api/src/lib/synthflow-voice-env.ts,existing,repo,maybe,current,low,medium,"External lookup config; secret/URL treatment required."
MAKE_LOOKUP_TIMEOUT_MS,Make Lookup Timeout Ms,env_var,Voice,env helper,apps/api/src/lib/synthflow-voice-env.ts,existing,repo,maybe,current,low,low,"Voice lookup timeout config."
SYNTHFLOW_LOOKUP_CLIENT_ACCOUNT_ID,Synthflow Lookup Client Account ID,env_var,Voice,env helper,apps/api/src/lib/synthflow-voice-env.ts,existing,repo,yes,current,medium,medium,"Tenant scoping env; overlaps clientAccountId but config-owned."
SYNTHFLOW_LOOKUP_SUBACCOUNT_ID_GHL,Synthflow Lookup Subaccount ID GHL,env_var,Voice,env helper,apps/api/src/lib/synthflow-voice-env.ts,existing,repo,maybe,current,medium,medium,"Tenant scoping env; overlaps subaccountIdGhl but config-owned."
SYNTHFLOW_OUTBOUND_CALENDAR_MAP_JSON,Synthflow Outbound Calendar Map JSON,env_var,Voice,README outbound context docs,README.md,existing,repo,yes,current,medium,medium,"Calendar config JSON; live GHL calendar inventory required."
WEBHOOK_SECRET,Webhook Secret,env_var,Security,README and routes,README.md;apps/api/src/routes/webhook.ts;apps/api/src/routes/voice.ts,existing,repo,yes,current,low,high,"Secret auth shared by GHL lifecycle and Synthflow voice routes."
ADMIN_API_KEY,Admin API Key,env_var,Security,admin auth/admin COC server,apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,high,"Server-only admin auth key; never custom value."
SA360_ADMIN_API_KEY,SA360 Admin API Key,env_var,Security,admin COC server,apps/admin-coc/src/lib/admin-api/server.ts,existing,repo,yes,current,low,high,"Admin app server-only key."
NEXT_PUBLIC_API_BASE_URL,Admin API Base URL,env_var,Admin,admin COC settings/server,apps/admin-coc/src/lib/admin-api/server.ts;apps/admin-coc/src/app/(dashboard)/settings/page.tsx,existing,admin_coc,yes,current,low,low,"Public API origin for admin app."
NEXT_PUBLIC_SA360_ENV,Admin Environment Badge,env_var,Admin,Figma design brief,docs/figma/sa360-coc-design-brief.md,existing,admin_coc,maybe,current,low,low,"Display-only environment badge."
SA360_ENV,Runtime Environment,env_var,Admin,README/logging,README.md,existing,repo,maybe,current,low,low,"Structured log env field."
sa360_calendar_link,Calendar Link,field,GHL,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,yes,"Folder: SA360 - Calendars; type: Single line; likely duplicate/companion to scheduling_calendar_link and calendar_link response variables."
sa360_calendar_id,Calendar ID,field,GHL,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,yes,"Folder: SA360 - Calendars; type: Single line; maps to scheduling_calendar_id/calendar_id; reconcile with GHL calendar inventory."
sa360_voice_appointment_end,Voice Appointment End,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,yes,"Folder: SA360 - Voice Results; type: Single line; may duplicate appointment_time/calendar event data."
sa360_voice_appointment_start,Voice Appointment Start,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,yes,"Folder: SA360 - Voice Results; type: Single line; likely appointment_time/start mirror."
sa360_voice_callback_time,Voice Callback Time,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Results; type: Single line; maps to callback_requested outcome follow-up state."
sa360_voice_callback_requested,Voice Callback Requested,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Results; type: Single line; callback_requested also exists as outbound result outcome."
sa360_voice_error,Voice Error,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,yes,"Folder: SA360 - Voice Results; type: Single line; request/log errors live in SynthflowRequestLog/SynthflowOutboundResultLog."
sa360_voice_next_retry_at,Voice Next Retry At,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,no,medium,"Folder: SA360 - Voice Results; type: Single line; workflow scheduling state."
sa360_voice_last_summary,Voice Last Summary,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Results; type: Single line; overlaps transcript_summary/SynthflowOutboundResultLog transcriptSummary."
sa360_voice_last_recording_url,Voice Last Recording URL,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,no,current,no,medium,"Folder: SA360 - Voice Results; type: Single line; GHL/voice artifact pointer only."
sa360_voice_last_transcript_url,Voice Last Transcript URL,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,no,current,yes,medium,"Folder: SA360 - Voice Results; type: Single line; overlaps transcript_summary but URL is separate artifact."
sa360_voice_last_result_at,Voice Last Result At,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Results; type: Single line; mirrors last outbound result receivedAt."
sa360_voice_last_model_id,Voice Last Model ID,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Results; type: Single line; maps to model_id/modelId."
sa360_voice_last_call_id,Voice Last Call ID,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Results; type: Single line; maps to call_id/callId."
sa360_voice_attempt_count,Voice Attempt Count,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Results; type: Number; overlaps contact_attempt_count if both count calls."
sa360_voice_last_disposition,Voice Last Disposition,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Control; type: Dropdown single; overlaps outbound result outcome/agent_disposition."
sa360_voice_last_status,Voice Last Status,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Control; type: Dropdown single; overlaps routing_status/voice status."
sa360_voice_enabled,Voice Enabled,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,yes,"Folder: SA360 - Voice Control; type: Dropdown single; GHL contact/client control exists; compare with VOICE_ENABLED and SYNTHFLOW_* env gates."
sa360_agent_voice_enabled,Agent Voice Enabled,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Agent Config; type: Dropdown single; agent-level voice gate."
sa360_ai_in_progress,AI In Progress,field,Voice,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360 - Voice Control; type: Dropdown single; workflow state, not DB event."
