canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,purpose,inputs,outputs,fields_tags_reads,fields_tags_writes,related_api_event_payload,duplicate_responsibility_risk,notes
Review Queue,Review Queue,workflow,Admin,admin page and Figma mock review items,apps/admin-coc/src/app/(dashboard)/review/page.tsx;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,admin_coc,maybe,proposed,medium,medium,"Operator triage for validation failures unknown caller Meta errors duplicates","WebhookRequestLog SynthflowRequestLog MetaDispatchAttempt FailedDispatch future ReviewItem","UI queue and possibly future ReviewItem records","processingStatus lookupStatus errorCode errorSummary","No DB writes currently","No dedicated API route currently","Medium: ReviewItem is mentioned but not in Prisma","UI stub only; backend missing."
Synthflow inbound lookup,Synthflow Inbound Lookup,workflow,Voice,voice route and service,apps/api/src/routes/voice.ts;apps/api/src/services/synthflow-inbound-lookup.service.ts,existing,repo,yes,current,medium,medium,"Resolve inbound caller to contact context for Synthflow","event=call_inbound call_inbound.from_number/to_number/model_id","custom_variables known_caller customer/contact state metadata lookup_status; SynthflowRequestLog","phoneE164 clientAccountId subaccountIdGhl modelId InboundContactIndex","SynthflowRequestLog fields only","POST /voice/synthflow/inbound-lookup","Medium: known_caller should not be persisted in GHL as tag/field","Auth via x-sa360-secret."
Synthflow outbound context,Synthflow Outbound Context,workflow,Voice,voice route README and service,apps/api/src/routes/voice.ts;apps/api/src/services/synthflow-outbound-context.service.ts;README.md,existing,repo,yes,current,medium,medium,"Provide outbound call context guardrails and calendar hints before scheduling","event=call_outbound_context call.to_number/from_number optional ids","custom_variables booking/reschedule/calendar/context; SynthflowRequestLog","InboundContactIndex lifecycleStage appointmentStatus policyStatus assignedAgentId","SynthflowRequestLog only","POST /voice/synthflow/outbound-context","Medium: derived guardrails should not become independent GHL state","Calendar map is env-backed."
Synthflow outbound result,Synthflow Outbound Result,workflow,Voice,voice route and schema,apps/api/src/routes/voice.ts;apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,yes,current,medium,medium,"Persist outbound call outcome observability","event=call_outbound_result call_result fields","SynthflowOutboundResultLog row","call_id outcome booked appointment_time contact_id_ghl client_account_id","SynthflowOutboundResultLog only","POST /voice/synthflow/outbound-result","Medium: booked/outcome must reconcile with GHL appointment source","Observability only per Prisma comment."
GHL lifecycle webhook,GHL Lifecycle Webhook,workflow,GHL,API route README,apps/api/src/routes/webhook.ts;README.md,existing,repo,yes,current,medium,medium,"Alias of M1A runtime intake from GHL","Normalized lifecycle webhook payload","Lifecycle/event/index/log/queue artifacts","Same as M1A","Same as M1A","POST /webhooks/ghl/lifecycle-event","Medium: live GHL workflows must stamp payload consistently","Runtime truth for GHL objects still missing."
Meta dispatch,Meta Dispatch,workflow,Meta,worker processor and queue constants,apps/worker/src/processors/meta-dispatch.processor.ts;packages/shared/src/constants.ts,existing,repo,yes,current,medium,medium,"Send stored lifecycle events to Meta CAPI","LifecycleEvent payloadJson ClientConfig routing dataset config","MetaDispatchAttempt row LifecycleEvent processed status","event_name_meta event_uuid send_to_meta metaDatasetId metaAccessToken metaSyncEnabled","MetaDispatchAttempt LifecycleEvent.status","BullMQ meta-dispatch/dispatch-event; Meta payload","Medium: UI mock capi.dispatch must map to actual attempt rows","Global and per-client gates exist."
M1A - New Lead Intake - Veteran,New Lead Intake Veteran,workflow,M1,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"GHL source workflow for new veteran lead intake","GHL new lead/contact/form trigger","Lead enters SA360 M1 flow and likely backend lifecycle webhook","lead_uid client_account_id lead_type source fields","sa360_lifecycle_stage sa360_routing_status sa360_backend_sync_* likely","Likely POST /webhooks/ghl/lifecycle-event","High: overlaps repo M1A lifecycle webhook intake; define GHL vs repo responsibilities","Published; updated May 07 2026; total enrolled 31."
M1B - Normalize and Lock Lead,Normalize and Lock Lead,workflow,M1,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"Normalize lead identity/source/phone and lock routing fields","Raw webform/native fields phone/email/source/niche","Normalized SA360 fields and assignment-prep state","phone email Lead Type Contact source webform data","sa360_normalization_status sa360_phone_e164 sa360_phone_status sa360_lead_type_normalized sa360_duplicate_*","May emit lead_normalized/contact_updated lifecycle payload","High: overlaps repo normalization/indexing and payload schema but is existing GHL runtime truth","Published; updated Apr 27 2026; total enrolled 34."
M1C - Send Off,Send Off,workflow,M1,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"Handoff from intake/normalization to outbound orchestration/backend sync","Normalized lead and routing prep fields","M2 entry and likely webhook/backend sync state","sa360_lifecycle_stage sa360_routing_status sa360_backend_sync_status","sa360_event_last_webhook_sent sa360_event_last_webhook_sent_at sa360_next_event_name","Likely POST /webhooks/ghl/lifecycle-event","Medium: overlaps repo event-service attribution/contact-index effects","Published; updated Apr 29 2026; total enrolled 12."
M2A - First Contact Orchestrator,First Contact Orchestrator,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"Orchestrates first contact path after normalized/assigned lead","Lead normalized assigned status ATTEMPTING_CONTACT channel fields","Routes to first-touch watcher or timing gate","sa360_first_touch_completed sa360_channel_mode sa360_client_* sa360_agent_*","sa360_outbound_stage sa360_routing_status","GHL workflow trigger; may precede lifecycle first_response","Medium: first contact is GHL-owned while repo owns event ledger","Published; total enrolled 33."
M2A.5 - Immediate First Touch Watcher,Immediate First Touch Watcher,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,no,medium,"Routes immediate first touch by selected channel","sa360_channel_mode first-touch-needed state","M2A.FT-BLUE/GREEN or M2FT-VOICE review path","sa360_channel_mode sa360_first_touch_completed","routing to channel-specific workflow","GHL workflow transition","Medium: M2FT-VOICE path missing from workflow list","Published; total enrolled 7."
M2A.FT-BLUE - First Touch Send,First Touch Send Blue,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"Sends first touch over Blue channel","sa360_channel_mode=BLUE message custom values","First touch sent; day 1 cadence entry","SA360_MSG_M2FT_BLUE_* sa360_channel_number","sa360_first_touch_completed sa360_first_touch_type sa360_followup_day sa360_blue_attempt_count","May lead to first_response lifecycle event when reply happens","Medium: overlaps proposed M2FT-BLUE roadmap; now confirmed existing GHL workflow","Published; total enrolled 22."
M2A.FT-GREEN - First Touch Send,First Touch Send Green,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"Sends first touch over Green channel","sa360_channel_mode=GREEN message custom values","First touch sent; day 1 cadence entry","SA360_MSG_M2FT_GREEN_* sa360_channel_number","sa360_first_touch_completed sa360_first_touch_type sa360_followup_day sa360_green_attempt_count","May lead to first_response lifecycle event when reply happens","Medium: overlaps proposed M2FT-GREEN roadmap; now confirmed existing GHL workflow","Published; total enrolled 5."
M2B - Timing Gate,Timing Gate,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,no,medium,"Evaluates allowed send window before outbound action","sa360_next_contact_at client text window timezone","Releases outbound action or waits","sa360_client_text_start_hour sa360_client_text_end_hour sa360_timezone sa360_timing_gate_last_eval_at","sa360_timing_gate_last_eval_at sa360_routing_status","GHL workflow transition","Low: GHL timing gate should own send-window gating","Published; total enrolled 12."
M2C - Response + Daily Cadence,Response And Daily Cadence,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"Central response/cadence hub after first touch and follow-up sends","First-touch sent day and no-reply/reply state","Routes reply to M2D or no-reply/day-limit to M2E","sa360_reply_detected sa360_followup_day sa360_no_reply_streak","sa360_followup_day sa360_next_contact_at sa360_routing_status","May emit first_response or no-reply review concepts","Medium: must not duplicate lifecycle event names as fields/tags","Published; total enrolled 6."
M2C-BLUE - Follow-Up Send,Blue Follow-Up Send,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,no,medium,"Sends Blue follow-up during cadence","M2C/Post-Gate Router and Blue channel state","Blue follow-up sent and returns to M2C","SA360_MSG_M2C_BLUE_* sa360_blue_attempt_count","sa360_blue_attempt_count sa360_contact_attempt_count sa360_next_contact_at","GHL workflow action","Low: channel-specific send workflow","Published; total enrolled 1."
M2C-GREEN - Follow-Up Send,Green Follow-Up Send,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,no,medium,"Sends Green follow-up during cadence","M2C/Post-Gate Router and Green channel state","Green follow-up sent and returns to M2C","SA360_MSG_M2C_GREEN_* sa360_green_attempt_count","sa360_green_attempt_count sa360_contact_attempt_count sa360_next_contact_at","GHL workflow action","Low: draft so not beta runtime unless published","Draft; total enrolled 0."
M2C-GUARD_TEMPLATE,Response Cadence Guard Template,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,no,current,no,medium,"Reusable guard template for M2C branches","Guard conditions template","Template only","unknown","unknown","none","Low: should not be treated as production workflow","Draft; total enrolled 0; likely internal template."
M2C.4 - Appointment Booked,Appointment Booked,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,yes,"Handles booked appointment lifecycle bridge","Booking detected/appointment fields","Appointment booked state and confirmation path","sa360_booking_detected sa360_appointment_status sa360_appointment_booked_at","sa360_lifecycle_stage sa360_appointment_status sa360_booking_source sa360_appointment_set_at","appointment_set lifecycle event likely","High: appointment_status/appointment_set event must stay mapped clearly","Published; total enrolled 12."
M2C.5 - Confirm and Remind,Confirm And Remind,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"Sends appointment confirmations and reminders","Booked appointment fields calendar values message custom values","Confirmation/reminder state","SA360_MSG_M2C5_* sa360_confirmation_status sa360_appt_* sa360_calendar_link","sa360_confirmation_status sa360_post_call_text_sent maybe","GHL appointment/reminder workflow","Medium: must align with appointment_status/calendar source","Published; total enrolled 9."
M2C.5 - Post-Gate Router,Post-Gate Router,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,no,medium,"Routes post-timing-gate by channel and booking state","sa360_channel_mode booking fields","M2C-BLUE/GREEN/VOICE or booked confirmation path","sa360_channel_mode sa360_booking_detected sa360_appointment_status","workflow routing only","GHL workflow transition","Medium: M2FT-VOICE review path missing from workflow list","Published; total enrolled 3."
M2D - AI Handoff,AI Handoff,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,yes,current,yes,medium,"AI takes over after reply detected","sa360_reply_detected AI control fields","AI conversation/CloseBot path","sa360_reply_detected sa360_ai_handoff_ready sa360_client_closebot_enabled sa360_ai_provider_selected","sa360_ai_takeover_at sa360_ai_status sa360_ai_last_status","May eventually map to first_response/contact_updated lifecycle events","Medium: AI status fields duplicate across folders","Published; total enrolled 55."
M2E - Fallback / No Reply,Fallback No Reply,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,no,medium,"Terminal no-reply/review fallback path","M2C day limit/no-reply condition","Fallback/review/no-reply terminal state","sa360_no_reply_streak sa360_followup_day sa360_client_sendblue_max_no_reply_attempts","sa360_needs_review sa360_routing_status","No repo event currently","Medium: draft may be beta blocker if fallback behavior required","Draft; total enrolled 0."
M2FT-VOICE - Review,First Touch Voice Review,workflow,M2,ghl_screenshot_inventory_2026_05_08,GHL workflow diagram,needs_review,GHL,maybe,current,yes,medium,"Voice first-touch review path referenced in diagram","channel=VOICE no booking after 120 sec","Review/manual path or M3 voice flow","sa360_channel_mode sa360_booking_detected","sa360_needs_review maybe","No concrete workflow screenshot row","Medium: referenced by diagram but not workflow list","Missing from workflow list screenshot; mark missing_inventory/needs_review."
M3V-A - Call New Lead,Call New Lead,workflow,M3,ghl_screenshot_inventory_2026_05_08,GHL screenshots and workflow diagram,existing,GHL,yes,current,yes,medium,"Initiates third-party voice call for new lead","Voice enabled/provider/channel/phone guard fields and Synthflow custom values","Synthflow call fired; contact attempt incremented; call-in-progress state","sa360_voice_enabled sa360_voice_provider_selected sa360_channel_mode sa360_call_in_progress phone SA360_SYNTHFLOW_OUTBOUND_CALL_URL SA360_SYNTHFLOW_MODEL_ID_VET SA360_SYNTHFLOW_AGENT_PHONE","sa360_pre_call_text_sent sa360_call_in_progress sa360_last_call_attempt_at sa360_routing_status sa360_contact_attempt_count","External Synthflow call; repo has outbound-context/outbound-result endpoints but not outbound-call trigger route","Medium: outbound call initiation is GHL-owned while repo owns context/result logging","Draft; total enrolled 9."
M3V-B - Post Call Processing,Post Call Processing,workflow,M3,ghl_screenshot_inventory_2026_05_08,GHL screenshots and workflow diagram,existing,GHL,yes,current,yes,medium,"Processes inbound post-call webhook result","Inbound webhook/add-to-workflow trigger with call result","Updates call-in-progress and post-call text/result branches","call result booked/no-answer fields sa360_call_in_progress","sa360_call_in_progress sa360_post_call_text_sent sa360_routing_status sa360_lifecycle_stage sa360_ai_last_status","Related to POST /voice/synthflow/outbound-result but GHL webhook payload not yet captured","Medium: must map GHL post-call payload to repo outbound-result schema","Draft; total enrolled 0."
M3V-C - Voice Re-Engage,Voice Re-Engage,workflow,M3,ghl_screenshot_inventory_2026_05_08,GHL screenshots and workflow diagram,existing,GHL,maybe,current,no,medium,"Retries/re-engages when call not answered or not booked","NO ANSWER or not booked result from M3V-B","Retry/re-engagement scheduling","sa360_voice_last_disposition sa360_routing_status sa360_voice_next_retry_at","sa360_routing_status sa360_voice_next_retry_at","Related to outbound result outcomes no_answer/not_interested/etc","Low: draft not beta runtime unless published","Draft; total enrolled 0."
M3V-D - Voice Booked Branch,Voice Booked Branch,workflow,M3,ghl_screenshot_inventory_2026_05_08,GHL workflow diagram,missing_inventory,GHL,maybe,current,yes,medium,"Diagram branch for answered and booked call","answered AND booked result","Sets responded/completed state","sa360_voice_last_disposition booked result","sa360_lifecycle_stage=RESPONDED sa360_ai_last_status=RESPONDED sa360_routing_status=VOICE_COMPLETED","Related to outbound result booked=true and appointment_set lifecycle","Medium: appears in diagram but not workflow list screenshot","Missing from workflow list screenshot; needs GHL export."
